AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
152,4,0,1,29,1,0,1,152,4
56,2,1,1,31,1,0,1,56,2
145,3,2,1,145,3,3,1,82,2
292,5,3,1,136,3,3,1,292,5
20,1,0,1,14,1,0,1,20,1
153,4,0,1,29,1,0,1,153,4
25,1,0,1,9,1,1,1,25,1
38,1,1,1,19,1,2,1,38,1
158,4,0,1,25,1,0,1,158,4
34,1,1,1,34,1,0,1,10,1
46,1,1,1,29,1,0,1,46,1
173,4,3,1,159,4,1,1,173,4
44,1,1,1,33,1,0,1,44,1
39,1,1,1,39,1,0,1,12,1
101,3,3,1,18,1,2,1,101,3
37,1,1,1,37,1,0,1,30,1
60,2,1,1,22,1,3,1,60,2
23,1,0,1,17,1,0,1,23,1
93,2,1,1,24,1,5,1,93,2
28,1,1,1,28,1,8,1,25,1
91,2,2,1,22,1,3,1,91,2
39,1,1,1,22,1,1,1,39,1
66,2,1,1,10,1,5,1,66,2
6,1,0,1,5,1,0,1,6,1
44,1,1,1,27,1,10,1,44,1
153,4,3,1,153,4,1,1,152,4
42,1,1,1,42,1,0,1,12,1
62,2,1,1,32,1,4,1,62,2
35,1,1,1,22,1,6,1,35,1
27,1,1,1,25,1,3,1,27,1
19,1,0,1,18,1,0,1,19,1
198,4,3,1,91,2,3,1,198,4
175,4,1,1,51,2,1,1,175,4
33,1,1,1,33,1,1,1,28,1
194,4,1,1,46,1,0,1,194,4
500,6,1,1,47,1,1,1,500,6
37,1,1,1,3,1,3,1,37,1
30,1,0,1,30,1,2,1,27,1
61,2,1,1,10,1,16,1,61,2
32,1,1,1,24,1,3,1,32,1
84,2,1,1,45,1,0,1,84,2
33,1,1,1,33,1,1,1,21,1
44,1,1,1,44,1,0,1,15,1
68,2,1,1,39,1,1,1,68,2
57,2,2,1,21,1,11,1,57,2
29,1,1,1,29,1,2,1,27,1
30,1,1,1,30,1,3,1,25,1
35,1,1,1,22,1,1,1,35,1
37,1,1,1,21,1,4,1,37,1
76,2,3,1,8,1,1,1,76,2
90,2,3,1,46,1,3,1,90,2
34,1,1,1,26,1,9,1,34,1
65,2,1,1,30,1,1,1,65,2
29,1,0,1,28,1,2,1,29,1
37,1,1,1,27,1,8,1,37,1
72,2,1,1,29,1,3,1,72,2
169,4,7,1,0,1,21,1,169,4
36,1,1,1,25,1,3,1,36,1
46,1,1,1,37,1,2,1,46,1
71,2,1,1,71,2,3,1,49,1
29,1,0,1,29,1,2,1,26,1
77,2,1,1,43,1,6,1,77,2
48,1,0,1,24,1,0,1,48,1
57,2,1,1,19,1,10,1,57,2
53,2,1,1,38,1,2,1,53,2
30,1,0,1,25,1,3,1,30,1
31,1,0,1,30,1,1,1,31,1
27,1,0,1,19,1,0,1,27,1
30,1,0,1,28,1,2,1,30,1
120,3,1,1,30,1,0,1,120,3
25,1,0,1,24,1,2,1,25,1
57,2,2,1,22,1,14,1,57,2
66,2,1,1,28,1,1,1,66,2
70,2,1,1,21,1,0,1,70,2
105,3,1,1,49,1,0,1,105,3
12,1,1,1,12,1,0,1,11,1
25,1,0,1,25,1,0,1,12,1
129,3,0,1,30,1,0,1,129,3
32,1,1,1,27,1,3,1,32,1
42,1,1,1,28,1,0,1,42,1
34,1,1,1,13,1,1,1,34,1
60,2,2,1,8,1,4,1,60,2
33,1,0,1,33,1,1,1,26,1
37,1,1,1,12,1,13,1,37,1
50,1,1,1,20,1,0,1,50,1
46,1,1,1,26,1,2,1,46,1
31,1,0,1,28,1,1,1,31,1
95,2,9,1,95,2,0,1,46,1
192,4,4,1,192,4,6,1,124,3
49,1,1,1,24,1,2,1,49,1
31,1,0,1,31,1,2,1,31,1
34,1,0,1,29,1,3,1,34,1
32,1,0,1,27,1,3,1,32,1
100,3,1,1,16,1,0,1,100,3
176,4,2,1,21,1,3,1,176,4
35,1,1,1,20,1,3,1,35,1
32,1,1,1,32,1,1,1,28,1
98,2,2,1,47,1,0,1,98,2
32,1,1,1,29,1,0,1,32,1
164,4,1,1,35,1,0,1,164,4
61,2,1,1,29,1,1,1,61,2
16,1,1,1,12,1,0,1,16,1
167,4,1,1,49,1,1,1,167,4
117,3,4,1,14,1,7,1,117,3
56,2,1,1,25,1,2,1,56,2
50,1,0,1,23,1,0,1,50,1
119,3,1,1,35,1,0,1,119,3
180,4,1,1,45,1,0,1,180,4
171,4,1,1,36,1,0,1,171,4
434,6,1,1,53,2,1,1,362,6
53,2,1,1,18,1,14,1,53,2
50,1,1,1,24,1,11,1,50,1
40,1,1,1,26,1,3,1,40,1
55,2,1,1,19,1,0,1,55,2
34,1,1,1,18,1,1,1,34,1
172,4,3,1,172,4,5,1,145,3
69,2,1,1,22,1,6,1,69,2
38,1,0,1,38,1,0,1,34,1
184,4,1,1,39,1,1,1,184,4
74,2,2,1,23,1,1,1,74,2
118,3,1,1,17,1,4,1,118,3
52,2,1,1,52,2,1,1,36,1
500,6,1,1,73,2,1,1,500,6
30,1,0,1,30,1,1,1,25,1
207,5,4,1,207,5,3,1,150,4
35,1,0,1,28,1,2,1,35,1
